name,player_style,nationality,base_price_(in_lacs),final_price_(in_lacs),franchise,status
Harshit Rana,Bowler,India,3.044522437723423,3.044522437723423,KKR,RETAINED
Ekant Sen,Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Wayne Parnell,Allrounder,South Africa,4.330733340286331,5.017279836814924,CSK,UNSOLD
Shakib Al Hasan,Allrounder,Bangladesh,5.017279836814924,5.017279836814924,KKR,SOLD
Joe Root,Batter,England,4.61512051684126,4.61512051684126,RR,SOLD
Abdul Basith,Allrounder,India,3.044522437723423,3.044522437723423,RR,SOLD
Prashant Chopra,Allrounder,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Akeal Hosein,Bowler,West Indies,4.61512051684126,4.61512051684126,SRH,SOLD
Raghav Goyal,Bowler,India,3.044522437723423,3.044522437723423,MI,SOLD
Yudhvir Singh Charak,Allrounder,India,3.044522437723423,3.044522437723423,LSG,SOLD
Luke Wood,Bowler,England,4.61512051684126,5.017279836814924,CSK,UNSOLD
Dilshan Madushanka,Bowler,Sri Lanka,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Naveen-ul-Haq,Allrounder,Afghanistan,3.9318256327243257,3.9318256327243257,LSG,SOLD
Akash Singh,Bowler,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Akash Vashist,Allrounder,India,3.044522437723423,3.044522437723423,RR,SOLD
Suryansh Shedge,Allrounder,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Johnson Charles,WK-Batter,West Indies,3.9318256327243257,5.017279836814924,CSK,UNSOLD
Rassie van der Dussen,Batter,South Africa,5.303304908059076,5.017279836814924,CSK,UNSOLD
Mandeep Singh,Batter,India,3.9318256327243257,3.9318256327243257,KKR,SOLD
Murugan Ashwin,Bowler,India,3.044522437723423,3.044522437723423,RR,SOLD
KM Asif,Bowler,India,3.4339872044851463,3.4339872044851463,RR,SOLD
Dinesh Bana,WK-Batter,India,3.044522437723423,5.017279836814924,CSK,UNSOLD
Anmolpreet Singh,Batter,India,3.044522437723423,3.044522437723423,SRH,SOLD
Adam Zampa,Bowler,Australia,5.017279836814924,5.017279836814924,RR,SOLD
Kusal Mendis,WK-Batter,Sri Lanka,3.9318256327243257,5.017279836814924,CSK,UNSOLD
